	annotation network number	LQ-01-61-02_pos.mzXML	retention time (min)	row m/z	row ID	adduct (ion identity)	neutral mass (ion identity)	annotation	status
2	2.0	0.0002574513482602192	0.32	200.0931	{802, 1475, 1476}	{'[M+NH4]+', '[M+ACN+H]+'}	158.0595	non anotated	not interesting
10719	683x	0.00019140767364157852	0.32	169.0718	{683}	{nan}	0.0	non anotated	not interesting
11375	768x	0.0003904616489941982	0.32	175.0979	{768}	{nan}	0.0	non anotated	not interesting
3	3.0	0.0005596695071145821	0.32	148.0869	{328, 329, 354}	{'[2M+HFA+2H]2+', '[M+Na]+'}	124.0771	non anotated	not interesting
7	8.0	0.006957949941630375	0.34	163.0978	{565}	{'[M+HFA+H]+'}	116.0849	non anotated	not interesting
9286	50x	0.002472634448463043	0.35	111.0918	{50}	{nan}	0.0	non anotated	not interesting
9	10.0	0.0010191957836396628	0.37	305.0208	{385, 5668}	{'[2M+ACN+H]+', '[M+NH4]+'}	131.4929	non anotated	not interesting
10	13.0	0.0003290450186220649	0.37	180.9469	{64, 915, 239}	{'[M+HFA+H]+', '[2M+K]+', '[M+HFA+Na]+'}	70.9928	non anotated	not interesting
11	14.0	0.00031116082918690533	0.37	221.9731	{2304, 386}	{'[2M-H2O+NH4]+', '[M+K]+'}	110.9775	non anotated	not interesting
7929	3354x	0.00014908287289605875	0.37	255.963	{3354}	{nan}	0.0	non anotated	not interesting
14	18.0	0.00022049498383298595	0.38	260.9557	{3496, 2977}	{'[M+Na]+', '[M+K]+'}	221.9921	non anotated	not interesting
16	21.0	0.00019063921720083237	0.38	147.984	{347, 220}	{'[M+ACN+Na]+', '[2M+H]+'}	73.4878	non anotated	not interesting
18	23.0	0.00023139357287685897	0.38	158.017	{499, 343}	{'[M+ACN+K]+', '[2M+Na]+'}	67.5153	non anotated	not interesting
19	24.0	0.00046411252536933227	0.38	322.9864	{6766, 503}	{'[2M+ACN+H]+', '[M+NH4]+'}	140.4776	non anotated	not interesting
6820	1965x	0.00029184568188627113	0.38	213.9627	{1965}	{nan}	0.0	non anotated	not interesting
11125	735x	0.00011959688131585466	0.38	173.0786	{735}	{nan}	0.0	non anotated	not interesting
2375	1016x	0.00017627322827975492	0.38	184.4948	{1016}	{nan}	0.0	non anotated	not interesting
10670	677x	7.731374044160709e-05	0.39	168.4969	{677}	{nan}	0.0	non anotated	not interesting
2639	1049x	0.0001231937631624556	0.39	185.9724	{1049}	{nan}	0.0	non anotated	not interesting
6632	172x	0.0001854602733282211	0.39	134.5165	{172}	{nan}	0.0	non anotated	not interesting
7198	241x	0.0012964654294721546	0.39	140.0102	{241}	{nan}	0.0	non anotated	not interesting
6996	2160x	0.0012377627713198657	0.4	219.0101	{2160}	{nan}	0.0	non anotated	not interesting
10402	645x	0.00045720958328666954	0.4	166.4892	{645}	{nan}	0.0	non anotated	not interesting
7549	2851x	0.00015497217796110385	0.4	239.9576	{2851}	{nan}	0.0	non anotated	not interesting
9447	529x	0.001452528565238938	0.43	161.0262	{529}	{nan}	0.0	non anotated	not interesting
7043	222x	8.627386132666897e-05	0.45	138.0584	{222}	{nan}	0.0	non anotated	not interesting
7165	237x	6.522185134485645e-05	0.52	139.5137	{237}	{nan}	0.0	non anotated	not interesting
9766	5667x	0.00013927120188740063	0.56	305.0207	{5667}	{nan}	0.0	non anotated	not interesting
8004	346x	0.00014740867898571346	0.59	147.5066	{346}	{nan}	0.0	non anotated	not interesting
9719	5615x	0.0002646709204351971	0.59	304.0257	{5615}	{nan}	0.0	non anotated	not interesting
7051	223x	0.000643305398327918	0.61	138.0585	{223}	{nan}	0.0	non anotated	not interesting
9764	5665x	0.0002207826133969146	0.62	305.0205	{5665}	{nan}	0.0	non anotated	not interesting
7703	3043x	0.00028186912335515565	0.66	247.005	{3043}	{nan}	0.0	non anotated	not interesting
26	33.0	0.00018068591351420434	0.82	235.058	{2681, 1934}	{'[M+Na]+', '[M+H]+'}	212.0687	non anotated	not interesting
10329	6365x	0.0005357179801393205	1.07	316.2121	{6365}	{nan}	0.0	non anotated	not interesting
10676	678x	0.0003319289333103106	1.18	169.0496	{678}	{nan}	0.0	non anotated	not interesting
61	93.0	0.0001350670671867505	1.22	219.0628	{2161, 1382}	{'[M+Na]+', '[2M+2H]2+'}	196.0736	non anotated	not interesting
10328	6364x	0.0007385596275343139	1.24	316.212	{6364}	{nan}	0.0	non anotated	not interesting
6888	2033x	0.0001375076955594643	1.33	215.1255	{2033}	{nan}	0.0	non anotated	not interesting
79	127.0	0.00036989132617192905	1.33	272.1856	{3934, 3238}	{'[M+ACN+NH4]+', '[M+K]+'}	213.1234	non anotated	not interesting
9486	5354x	4.979237924354892e-05	1.38	300.1988	{5354}	{nan}	0.0	non anotated	not interesting
8523	413x	0.0005919501198037488	1.44	153.0547	{413}	{nan}	0.0	annotated	not interesting
8292	384x	0.00017309154273851285	1.46	149.526	{384}	{nan}	0.0	non anotated	not interesting
99	161.0	0.00012390329756248867	1.47	210.1102	{1104, 1858}	{'[M+Na]+', '[M+H]+'}	187.1209	non anotated	not interesting
9487	5355x	0.00012426446141459825	1.47	300.1988	{5355}	{nan}	0.0	non anotated	not interesting
10902	706x	0.00020889745170439098	1.47	170.1176	{706}	{nan}	0.0	non anotated	not interesting
8564	4198x	5.985137211673916e-05	1.51	278.1856	{4198}	{nan}	0.0	non anotated	not interesting
112	180.0	0.0004455853844867181	1.55	183.0653	{977, 455}	{'[2M+H]+', '[M+HFA+NH4]+'}	91.0301	annotated	not interesting
115	184.0	0.00043545050044371846	1.57	194.1152	{1293, 727}	{'[M+Na]+', '[M+H]+'}	171.1259	non anotated	not interesting
168	275.0	0.000285287962260973	1.78	235.0731	{2688, 1986, 1395, 534, 888, 2168}	{'[M+Na]+', '[M-2H2O+H]+', '[M+H]+', '[M+NH4]+', '[M-H2O+H]+', '[M+K]+'}	196.1099	annotated	not interesting
169	276.0	0.0001897168099219175	1.78	273.1672	{2912, 3988, 3215}	{'[M+Na]+', '[2M-H2O+2H]2+', '[M+H]+'}	250.1763	non anotated	not interesting
173	287.0	0.0005916756665895995	1.81	225.1113	{2396, 1037, 1039}	{'[M+Na]+', '[M-H2O+H]+'}	202.1203	non anotated	not interesting
12251	881x	0.00033356533338878676	1.84	179.0702	{881}	{nan}	0.0	annotated	not interesting
194	319.0	0.00011603888173668839	1.9	397.1259	{9303}	{'[2M+K]+'}	179.0824	non anotated	not interesting
201	336.0	0.00041462108809393704	1.95	415.1637	{711, 431, 9937, 1874, 1687, 1115}	{'[M+Na]+', '[M-2H2O+H]+', '[M+H]+', '[M+NH4]+', '[M-H2O+H]+', '[2M+K]+'}	188.1041	annotated	not interesting
7123	232x	7.832531780423134e-05	2.01	139.1117	{232}	{nan}	0.0	non anotated	not interesting
209	349.0	0.00035790459460282984	2.01	179.1065	{890}	{'[M-H2O+NH4]+'}	179.0822	non anotated	not interesting
9693	558x	0.0004798832659764979	2.04	163.0753	{558}	{nan}	0.0	annotated	not interesting
9492	535x	0.00019754739214679107	2.05	161.096	{535}	{nan}	0.0	non anotated	not interesting
236	395.0	0.00020599790959319802	2.16	195.0996	{743, 1308, 1150, 463}	{'[M+NH4]+', '[M+Na]+', '[M-H2O+H]+', '[M+H]+'}	172.11	non anotated	not interesting
9918	5859x	0.0001271047779790069	2.48	308.2222	{5859}	{nan}	0.0	non anotated	not interesting
