	annotation network number	LQ-01-61-74_pos.mzXML	retention time (min)	row m/z	row ID	adduct (ion identity)	neutral mass (ion identity)	annotation	status
9424	526x	0.00034700724745360836	0.25	160.0745	{526}	{nan}	0.0	non anotated	not interesting
2	2.0	0.0003393970533469085	0.32	200.0931	{802, 1475, 1476}	{'[M+ACN+H]+', '[M+NH4]+'}	158.0595	non anotated	not interesting
3	3.0	0.00022047987809232977	0.32	148.0869	{328, 329, 354}	{'[2M+HFA+2H]2+', '[M+Na]+'}	124.0771	non anotated	not interesting
7719	306x	0.00014122651402473157	0.32	146.0714	{306}	{nan}	0.0	non anotated	not interesting
11375	768x	0.0005193190349326575	0.32	175.0979	{768}	{nan}	0.0	non anotated	not interesting
4	4.0	0.0003193553297604656	0.33	156.0769	{390, 479}	{'[M+NH4]+', '[2M+HFA+2H]2+'}	132.0679	non anotated	not interesting
6	7.0	0.0002659767940765479	0.34	188.0931	{593, 227, 588, 1101}	{'[M+ACN+H]+', '[2M-H2O+2H]2+', '[M+NH4]+'}	146.0627	non anotated	not interesting
3152	1116x	0.00013949929069909112	0.35	189.1134	{1116}	{nan}	0.0	non anotated	not interesting
9	10.0	0.0007676356152407933	0.37	305.0208	{385, 5668}	{'[2M+ACN+H]+', '[M+NH4]+'}	131.4929	non anotated	not interesting
11	14.0	0.0005873346292115123	0.37	221.9731	{2304, 386}	{'[M+K]+', '[2M-H2O+NH4]+'}	110.9775	non anotated	not interesting
10	13.0	0.0007030994245285539	0.37	180.9469	{64, 915, 239}	{'[M+HFA+Na]+', '[2M+K]+', '[M+HFA+H]+'}	70.9928	non anotated	not interesting
14	18.0	0.0003472609888519999	0.38	260.9557	{3496, 2977}	{'[M+K]+', '[M+Na]+'}	221.9921	non anotated	not interesting
7705	3045x	0.0001015824444467751	0.38	247.0051	{3045}	{nan}	0.0	non anotated	not interesting
8800	449x	0.00020802725772248052	0.38	153.9934	{449}	{nan}	0.0	non anotated	not interesting
6903	2051x	0.00016024754953472109	0.38	215.9578	{2051}	{nan}	0.0	non anotated	not interesting
6820	1965x	0.00034636613798284956	0.38	213.9627	{1965}	{nan}	0.0	non anotated	not interesting
10413	646x	0.0002709626460479147	0.38	166.5002	{646}	{nan}	0.0	non anotated	not interesting
19	24.0	0.00036555970922270026	0.38	322.9864	{6766, 503}	{'[2M+ACN+H]+', '[M+NH4]+'}	140.4776	non anotated	not interesting
2375	1016x	0.00027663079405583745	0.38	184.4948	{1016}	{nan}	0.0	non anotated	not interesting
8782	447x	0.00030653216426961325	0.38	153.9595	{447}	{nan}	0.0	non anotated	not interesting
17	22.0	8.821257131406474e-05	0.38	141.0081	{245}	{'[M+Na]+'}	118.0185	non anotated	not interesting
