	annotation network number	LQ-01-61-06_pos.mzXML	retention time (min)	row m/z	row ID	adduct (ion identity)	neutral mass (ion identity)	annotation	status
2	2.0	0.0001791490743700384	0.32	200.0931	{802, 1475, 1476}	{'[M+ACN+H]+', '[M+NH4]+'}	158.0595	non anotated	not interesting
4	4.0	0.0012035203765637969	0.33	156.0769	{390, 479}	{'[M+NH4]+', '[2M+HFA+2H]2+'}	132.0679	non anotated	not interesting
6	7.0	0.001794498807197082	0.34	188.0931	{593, 227, 588, 1101}	{'[M+ACN+H]+', '[2M-H2O+2H]2+', '[M+NH4]+'}	146.0627	non anotated	specific non annotated
9	10.0	0.0011137351005878606	0.37	305.0208	{385, 5668}	{'[2M+ACN+H]+', '[M+NH4]+'}	131.4929	non anotated	not interesting
10	13.0	0.0007105002759411245	0.37	180.9469	{64, 915, 239}	{'[M+HFA+Na]+', '[2M+K]+', '[M+HFA+H]+'}	70.9928	non anotated	not interesting
11	14.0	0.0006270603534231095	0.37	221.9731	{2304, 386}	{'[M+K]+', '[2M-H2O+NH4]+'}	110.9775	non anotated	not interesting
7929	3354x	0.00039593536330276123	0.37	255.963	{3354}	{nan}	0.0	non anotated	not interesting
7189	240x	0.0001628591266368409	0.38	139.9961	{240}	{nan}	0.0	non anotated	not interesting
7380	263x	0.00026905643496681733	0.38	141.9834	{263}	{nan}	0.0	non anotated	not interesting
2375	1016x	0.00044401991816097594	0.38	184.4948	{1016}	{nan}	0.0	non anotated	not interesting
8782	447x	0.00037439619440132564	0.38	153.9595	{447}	{nan}	0.0	non anotated	not interesting
8800	449x	0.00029391496551600525	0.38	153.9934	{449}	{nan}	0.0	non anotated	not interesting
6903	2051x	0.000196669338862145	0.38	215.9578	{2051}	{nan}	0.0	non anotated	not interesting
9068	481x	0.00020675901565148406	0.38	156.1387	{481}	{nan}	0.0	non anotated	not interesting
6820	1965x	0.0003903122768495336	0.38	213.9627	{1965}	{nan}	0.0	non anotated	not interesting
11125	735x	0.0002700325618122162	0.38	173.0786	{735}	{nan}	0.0	non anotated	not interesting
19	24.0	0.0005639847098886536	0.38	322.9864	{6766, 503}	{'[2M+ACN+H]+', '[M+NH4]+'}	140.4776	non anotated	not interesting
