row ID,row m/z,retention time (min),annotation,LQ-01-61-55_pos.mzXML,status
48,425.3783712387085,5.527919791666666,annotated,0.004635206140875322,not interesting
243,205.19514019084423,4.709153773584905,annotated,0.07224789743575034,not interesting
491,457.3685363769531,6.056753333333333,annotated,0.18432527859999187,not interesting
1576,471.3473510742188,6.102063333333334,non anotated,0.33687063337212836,not interesting
1930,488.3743809291295,6.104861904761905,annotated,0.3729465837508404,not interesting
2067,455.3521423339844,6.244364285714285,annotated,0.13899361508385202,not interesting
2211,455.1700221470424,3.791197619047619,non anotated,0.879933108064832,not interesting
2240,597.1943715413412,4.048925,non anotated,0.2939775951347001,not interesting
2263,592.2389831542969,4.050827777777778,non anotated,0.5101726626490156,not interesting
2466,523.1960144042969,4.266066666666666,non anotated,0.47957266888902045,not interesting
2659,602.2605845133463,4.407705555555555,non anotated,0.3773786567528645,not interesting
3397,453.3368236835186,5.299441025641025,annotated,0.11813859779408292,not interesting
3518,435.326416015625,5.281744444444445,non anotated,0.1412071355880841,not interesting
3655,205.15887451171875,5.2916083333333335,non anotated,0.25559844764458783,not interesting
4192,453.3369466145833,5.624635555555555,annotated,0.04442754006859787,not interesting
4793,245.08040873209637,3.7707777777777776,non anotated,1.0,specific non annotated
5110,469.3310775756836,5.861220833333333,annotated,0.7669935404480186,not interesting
5233,557.2020517985026,4.0514777777777775,non anotated,0.5118965094085874,not interesting
5235,235.16939163208008,5.3090375,annotated,0.5412972809158263,not interesting
5236,327.5968780517578,4.0544625,non anotated,0.3968665301114405,not interesting
5240,471.3466873168945,5.372516666666667,annotated,0.1444230046034767,not interesting
5249,607.2159423828125,4.394293333333333,non anotated,0.4358053712275805,not interesting
5250,219.17453002929688,4.486070833333334,annotated,1.0,specific annotated
5257,477.15185546875,3.780094444444445,non anotated,0.5537940426217998,not interesting
5262,465.1909917195638,4.1672,non anotated,0.4038300022936438,not interesting
5266,585.1972503662109,3.908116666666667,non anotated,0.5180875164743224,not interesting
5273,439.1751098632813,4.1418566666666665,non anotated,0.7643537604875856,not interesting
5275,602.2235717773438,3.908116666666667,non anotated,1.0,specific non annotated
5286,516.2228851318359,4.144045833333333,non anotated,0.7286281217495694,not interesting
5301,487.1727879842122,4.1672,non anotated,0.3896851039377814,not interesting
5887,455.3522399902344,4.992109999999999,annotated,0.0371535784212382,not interesting
5905,567.2236480712891,4.395145833333333,non anotated,0.4016005689282333,not interesting
5964,548.2133255004883,3.915495833333333,non anotated,1.0,specific non annotated
6049,496.2700843811035,5.456375,non anotated,0.3697198654454996,not interesting
6056,509.2174021402995,4.315133333333333,non anotated,1.0,specific non annotated
6067,349.2014045715332,4.466608333333333,non anotated,0.45647029301655784,not interesting
8912,425.3415273030599,5.946188888888888,non anotated,0.3278834429679134,not interesting
8913,201.163688659668,4.285908333333333,annotated,1.0,specific annotated
11517,471.3473281860352,5.530733333333334,annotated,0.24115567672882032,not interesting
11543,491.3127746582031,5.835088888888889,non anotated,1.0,specific non annotated
11557,473.18079630533856,3.625738888888888,non anotated,1.0,specific non annotated
11563,471.1648610432943,3.114783333333333,non anotated,0.40098493443663874,not interesting
11573,483.2019958496094,4.01745,non anotated,0.3326722908326771,not interesting
11574,331.1903839111328,4.811308333333333,non anotated,1.0,specific non annotated
11598,513.1887817382812,4.496208333333334,non anotated,1.0,specific non annotated
11637,457.184549967448,4.1476444444444445,non anotated,1.0,specific non annotated
11668,321.2043711344401,3.475394444444445,non anotated,1.0,specific non annotated
11702,467.2064310709636,4.521722222222222,non anotated,0.07711682398092003,not interesting
11727,346.22276306152344,3.397941666666666,non anotated,1.0,specific non annotated
11793,471.3462219238281,5.90855,annotated,0.3573309817664948,not interesting
11794,941.6885833740234,6.120733333333334,non anotated,0.381480559788491,not interesting
11795,485.3263397216797,5.177250000000001,non anotated,0.3248407548003191,not interesting
11796,179.14340209960938,4.395983333333334,non anotated,1.0,specific non annotated
11798,485.3258056640625,5.080666666666667,non anotated,1.0,specific non annotated
11803,319.18882751464844,4.395983333333334,non anotated,1.0,specific non annotated
11805,314.23301696777344,4.4949666666666666,non anotated,1.0,specific non annotated
11809,161.13279724121094,4.395983333333334,non anotated,1.0,specific non annotated
